customer_id,recency,frequency,monetary,is_recency_outlier,is_frequency_outlier,is_monetary_outlier,outlier_count,name,registration_date,age,days_since_registration,avg_order_value,customer_lifetime_days,purchase_rate_per_month,recency_score,frequency_score,monetary_score,rfm_score,segment,simplified_segment
CUST_00001,169,1,211.08,False,False,False,0,Mindy Cunningham,2025-01-19,24,171,211.08,0.0,0.17801169590643276,2,1,3,213,Hibernating,Low Value
CUST_00002,46,1,95.71,False,False,False,0,Kevin Burnett,2025-05-09,41,61,95.71,0.0,0.49901639344262294,3,1,2,312,Others,Low Value
CUST_00003,12,3,630.39,False,False,False,0,Loretta Mason,2025-06-18,41,21,210.13,0.0,4.348571428571429,4,3,3,433,Loyal Customers,High Value
CUST_00004,34,9,2519.49,False,False,False,0,Brandon Johnson,2024-04-16,50,449,279.9433333333333,0.0,0.6101559020044544,3,4,4,344,Loyal Customers,High Value
CUST_00005,0,44,34444.58,False,True,True,2,Robert Moore,2025-07-02,31,7,782.8313636363637,0.0,191.33714285714288,5,5,5,555,Champions,High Value
CUST_00006,46,1,130.87,False,False,False,0,Autumn Morgan,2025-04-27,31,73,130.87,0.0,0.41698630136986303,3,1,2,312,Others,Low Value
CUST_00007,131,1,95.39,False,False,False,0,Heidi Johnson,2025-02-27,18,132,95.39,0.0,0.2306060606060606,2,1,2,212,Hibernating,Low Value
CUST_00008,58,7,2374.75,False,False,False,0,Kelly Watson,2025-03-06,49,125,339.25,0.0,1.70464,3,3,3,333,Loyal Customers,High Value
CUST_00009,322,1,202.46,False,False,False,0,David Martin,2024-07-29,32,345,202.46,0.0,0.08823188405797103,2,1,3,213,Hibernating,Low Value
CUST_00010,3,6,3993.0,False,False,False,0,Paul Davis,2025-01-24,29,166,665.5,0.0,1.1002409638554218,5,3,4,534,Loyal Customers,High Value
CUST_00011,212,1,203.26,False,False,False,0,Dr. Dana Lambert MD,2024-11-29,30,222,203.26,0.0,0.13711711711711713,2,1,3,213,Hibernating,Low Value
