customer_id,recency,frequency,monetary,is_recency_outlier,is_frequency_outlier,is_monetary_outlier,outlier_count,name,registration_date,age,days_since_registration,avg_order_value,customer_lifetime_days,purchase_rate_per_month,recency_score,frequency_score,monetary_score,rfm_score,segment,simplified_segment,cluster,silhouette_score,cluster_name,cluster_description
CUST_00001,169,1,211.08,False,False,False,0,Mindy Cunningham,2025-01-19,24,171,211.08,0.0,0.1780116959064327,2,1,3,213,Hibernating,Low Value,0,0.7443366874332419,At-Risk Valuable,Previously good customers becoming inactive
CUST_00002,46,1,95.71,False,False,False,0,Kevin Burnett,2025-05-09,41,61,95.71,0.0,0.4990163934426229,3,1,2,312,Others,Low Value,0,0.717115544357232,At-Risk Valuable,Previously good customers becoming inactive
CUST_00003,12,3,630.39,False,False,False,0,Loretta Mason,2025-06-18,41,21,210.13,0.0,4.348571428571429,4,3,3,433,Loyal Customers,High Value,0,0.6936649154060616,At-Risk Valuable,Previously good customers becoming inactive
CUST_00004,34,9,2519.49,False,False,False,0,Brandon Johnson,2024-04-16,50,449,279.9433333333333,0.0,0.6101559020044544,3,4,4,344,Loyal Customers,High Value,0,0.6211681822891861,At-Risk Valuable,Previously good customers becoming inactive
CUST_00005,0,44,34444.58,False,True,True,2,Robert Moore,2025-07-02,31,7,782.8313636363637,0.0,191.33714285714288,5,5,5,555,Champions,High Value,1,0.6407542071780191,Champions,"Best customers - high value, frequent, recent"
CUST_00006,46,1,130.87,False,False,False,0,Autumn Morgan,2025-04-27,31,73,130.87,0.0,0.416986301369863,3,1,2,312,Others,Low Value,0,0.7170725736459116,At-Risk Valuable,Previously good customers becoming inactive
CUST_00007,131,1,95.39,False,False,False,0,Heidi Johnson,2025-02-27,18,132,95.39,0.0,0.2306060606060606,2,1,2,212,Hibernating,Low Value,0,0.7412989695751828,At-Risk Valuable,Previously good customers becoming inactive
CUST_00008,58,7,2374.75,False,False,False,0,Kelly Watson,2025-03-06,49,125,339.25,0.0,1.70464,3,3,3,333,Loyal Customers,High Value,0,0.6693523207146149,At-Risk Valuable,Previously good customers becoming inactive
CUST_00009,322,1,202.46,False,False,False,0,David Martin,2024-07-29,32,345,202.46,0.0,0.088231884057971,2,1,3,213,Hibernating,Low Value,0,0.7259419746508209,At-Risk Valuable,Previously good customers becoming inactive
CUST_00010,3,6,3993.0,False,False,False,0,Paul Davis,2025-01-24,29,166,665.5,0.0,1.1002409638554218,5,3,4,534,Loyal Customers,High Value,0,0.6250411140151436,At-Risk Valuable,Previously good customers becoming inactive
CUST_00011,212,1,203.26,False,False,False,0,Dr. Dana Lambert MD,2024-11-29,30,222,203.26,0.0,0.1371171171171171,2,1,3,213,Hibernating,Low Value,0,0.7437252044345855,At-Risk Valuable,Previously good customers becoming inactive
CUST_00012,236,1,43.75,False,False,False,0,Mary Mccormick,2024-10-19,45,263,43.75,0.0,0.1157414448669201,2,1,2,212,Hibernating,Low Value,0,0.7419974896606158,At-Risk Valuable,Previously good customers becoming inactive
CUST_00013,163,7,1963.5,False,False,False,0,Jamie Hernandez,2024-08-16,39,327,280.5,0.0,0.6516207951070337,2,3,3,233,Loyal Customers,High Value,0,0.6923952250113171,At-Risk Valuable,Previously good customers becoming inactive
CUST_00014,11,33,22616.47,False,True,True,2,Mrs. Wendy Herman,2025-05-02,31,68,685.3475757575758,0.0,14.77235294117647,4,5,5,455,Champions,High Value,1,0.7792770212233553,Champions,"Best customers - high value, frequent, recent"
CUST_00015,1,22,15422.61,False,False,True,1,Karen King,2025-06-15,30,24,701.0277272727272,0.0,27.903333333333336,5,5,5,555,Champions,High Value,1,0.5336574727218693,Champions,"Best customers - high value, frequent, recent"
CUST_00016,37,1,43.84,False,False,False,0,Mrs. Tracey Brown,2025-06-02,49,37,43.84,0.0,0.8227027027027027,3,1,2,312,Others,Low Value,0,0.7129241631280028,At-Risk Valuable,Previously good customers becoming inactive
CUST_00017,410,1,30.81,False,False,False,0,Philip Chapman,2024-05-15,25,420,30.81,0.0,0.0724761904761904,1,1,1,111,Lost,Low Value,0,0.6995634873108834,At-Risk Valuable,Previously good customers becoming inactive
CUST_00018,56,9,4552.23,False,False,False,0,Stacy Pearson,2024-11-02,36,249,505.8033333333333,0.0,1.1002409638554218,3,4,4,344,Loyal Customers,High Value,0,0.5911002279935917,At-Risk Valuable,Previously good customers becoming inactive
